mat,periodo,freq,semestre
138,4,6,2009.2
141,4,3,2009.2
144,4,4,2009.2
147,4,4,2009.2
150,4,3,2009.2
153,4,5,2009.2
156,4,6,2009.2
159,4,7,2009.2
162,4,2,2009.2
165,4,5,2009.2
168,4,6,2009.2
171,4,4,2009.2
174,4,4,2009.2
177,4,5,2009.2
180,4,6,2003.2
183,4,6,2003.2
186,4,4,2003.2
189,4,7,2003.2
192,4,7,2003.2
195,4,7,2003.2
198,4,1,2003.2
201,4,5,2003.2
204,4,5,2003.2
207,4,7,2003.2
210,4,5,2003.2
213,4,7,2003.2
216,4,6,2003.2
219,4,7,2003.2
222,4,7,2003.2
225,4,6,2003.2
228,4,3,2010.2
231,4,3,2010.2
234,4,1,2007.1
237,4,5,2007.2
240,4,0,2007.2
243,4,2,2014.1
246,4,4,2013.1
249,4,0,2013.1
252,4,5,2010.1
255,4,4,2010.1
258,4,4,2010.1
261,4,5,2010.1
264,4,2,2010.1
267,4,6,2010.1
270,4,7,2010.1
273,4,0,2011.2
276,4,6,2011.2
279,4,7,2011.2
282,4,4,2011.2
285,4,3,2011.2
288,4,5,2011.2
291,4,5,2011.2
294,4,6,2011.2
297,4,0,2011.2
300,4,1,2014.2
303,4,7,2011.1
306,4,3,2012.1
309,4,1,2010.2
312,4,3,2010.2
315,4,5,2010.2
318,4,3,2010.2
321,4,6,2010.2
324,4,1,2010.2
327,4,5,2010.2
330,4,6,2010.2
333,4,0,2014.1
336,4,0,2013.1
339,4,2,2013.1
342,4,6,2011.2
345,4,6,2011.2
348,4,4,2011.2
351,4,0,2011.2
354,4,6,2011.2
357,4,1,2011.2
360,4,1,2011.2
363,4,3,2011.2
366,4,6,2011.2
369,4,1,2011.2
372,4,0,2013.2
375,4,0,2011.1
378,4,0,2011.1
381,4,0,2009.1
384,4,4,2009.1
387,4,3,2005.1
390,4,3,2005.1
393,4,0,2005.1
